date,year,type,country,area,location,activity,sex,age,fatal_y_n,time,species,activity_group,species_group
2014-10-02,2014,Unprovoked,USA,California,"Walls Beach, Vandenberg AFB, Santa Barbara County",Surfing,M,28.0,N,17h30,8' to 10' shark,surfing,other shark
2014-08-01,2014,Unprovoked,SOUTH AFRICA,Western Cape Province,Muizenberg,Surfing,M,20.0,N,14h00,White shark,surfing,white shark
2014-06-25,2014,Unprovoked,BAHAMAS,Abaco Islands,,Spearfishing,M,42.0,N,13h00,"Caribbean reef shark, 7' to 8'",fishing,other shark
2014-06-01,2014,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",Surfing,M,,N,Morning,,surfing,unknown
2014-01-26,2014,Provoked,AUSTRALIA,New South Wales,Umina Beach,Fishing,M,,N,,1m shark,fishing,other shark
2013-11-22,2013,Unprovoked,USA,Oregon,"Gleneden Beach, Lincoln County",Surfing,M,25.0,N,10h30,"White shark, 10 '",surfing,white shark
2013-10-06,2013,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,M,45.0,N,08h45,"White shark, 8' to 10'",surfing,white shark
2013-06-18,2013,Unprovoked,USA,Hawaii,Kona Coast State Park,Swimming,M,28.0,N,12h50,"Tiger shark, 14'",swimming,tiger shark
2013-05-23,2013,Provoked,PALESTINIAN TERRITORIES,,Gaza,Fishing,M,30.0,N,Evening,,fishing,unknown
2013-03-21,2013,Unprovoked,BELIZE,,,Snorkeling,F,,N,,Nurse shark,other,other shark
2013-03-12,2013,Unprovoked,JAMAICA,St. Catherine,Pillikin Red Light area,Spearfishing,M,68.0,Y,09h00,"Tiger shark, 4.8 m",fishing,tiger shark
2013-03-10,2013,Unprovoked,PHILIPPINES,Palawan,Off Likas Island,Swimming to shore with floatioon devices after boat engine conked out,M,,N,,small sharks,swimming,other shark
2012-11-19,2012,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,14.0,N,17h30,2' to 3' shark,surfing,other shark
2012-09-02,2012,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,F,8.0,N,18h30,3.5' to 4' shark,watercraft,other shark
2012-08-28,2012,Unprovoked,AUSTRALIA,Western Australia,Red Bluff near Quobba Station,Surfing,M,34.0,N,15h30,,surfing,unknown
2012-06-15,2012,Provoked,USA,Florida,"Summerland Key, Monroe County",Fishing,M,23.0,N,14h20,Nurse shark,fishing,other shark
2012-06-02,2012,Unprovoked,USA,Florida,"Bethune Beach, Volusia County",Surfing,F,12.0,N,,,surfing,unknown
2012-03-06,2012,Provoked,AUSTRALIA,Victoria,"Shipwreck Cove, Melbourne Aquarium","Diving, feeding sharks",F,34.0,N,11h30,"Tawny nurse shark, 40cm",diving,other shark
2012-02-26,2012,Provoked,USA,Florida,"Palm Beach Inlet, Palm Beach County",Kite Surfing,M,,N,14h00,Spinner shark,surfing,other shark
2011-08-31,2011,Unprovoked,USA,Florida,Crescent Beach St. Johns County,Surfing,M,19.0,N,11h00,6' shark,surfing,other shark
2011-05-29,2011,Unprovoked,SOUTH AFRICA,Western Cape Province,Robberg Beach,Surfing,M,33.0,N,,White shark,surfing,white shark
2011-02-02,2011,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Sundays River Mouth, Port Elizabeth",Surf fishing,M,37.0,N,,,surfing,unknown
2010-02-03,2010,Unprovoked,USA,Florida,"Stuart, Martin County",Kite Boarding,M,38.0,Y,15h44,,watercraft,unknown
2009-12-29,2009,Unprovoked,SOUTH AFRICA,Eastern Cape  Province,Port Alfred,Wading,M,20.0,N,08h30,,swimming,unknown
2009-12-20,2009,Unprovoked,AUSTRALIA,Queensland,Lamont Reef,Spearfishing,M,18.0,N,07h30,"Bull shark, 3m",fishing,bull shark
2009-10-29,2009,Unprovoked,MOZAMBIQUE,Inhambane Province,Off Vilanculo,Spearfishing,M,,N,,Zambesi shark,fishing,other shark
2009-08-29,2009,Unprovoked,SOUTH AFRICA,Western Cape Province,Glentana,Surfing,M,25.0,Y,15h30,White shark,surfing,white shark
2009-07-24,2009,Unprovoked,KENYA,Mombasa,Likoni Channel,Washing his feet,M,,Y,,,other,unknown
2009-07-11,2009,Unprovoked,USA,California,"San Onofre, San Diego County",Paddle-surfing,M,,N,08h30,5' shark,surfing,other shark
2009-04-25,2009,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",Surfing,M,,N,10h00,,surfing,unknown
2009-04-11,2009,Invalid,USA,Hawaii,Kona,Spearfishing,M,49.0,,,Shark involvement not confirmed,fishing,other shark
2008-07-30,2008,Unprovoked,AUSTRALIA,Victoria,Levys Beach,Surfing,M,31.0,N,10h30,8' white shark or 7-gill shark,surfing,other shark
2008-06-11,2008,Unprovoked,BRAZIL,Pernambuco,"Punta Del Chifre, Olinda",Surfing,M,14.0,N,,,surfing,unknown
2008-04-18,2008,Invalid,MEXICO,Quintana Roo,"Delfines Beach, Cancun",Swimming,M,32.0,,Evening,"Reported by media as shark attack, but shark involvement prior to death was not confirmed",swimming,other shark
2008-03-07,2008,Unprovoked,USA,California,"Huntington Beach, Orange County",Surfing,M,27.0,N,08h00,White shark,surfing,white shark
2008-02-24,2008,Unprovoked,BAHAMAS,Northern Bahamas,Dive site known as The End of the Map,Diving,M,49.0,Y,10h00,"A bull shark, according to some of the divers on the boat",diving,other shark
2007-12-18,2007,Unprovoked,AUSTRALIA,New South Wales,Jimmy's Beach,Surfing,M,31.0,N,11h00,2 m shark,surfing,other shark
2007-09-22,2007,Unprovoked,USA,Florida,Huguenot Park,Surfing,F,,N,,4' shark,surfing,other shark
2007-08-25,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,27.0,N,Morning,3' shark,surfing,other shark
2007-05-07,2007,Unprovoked,USA,Florida,Naples,Swimming,M,68.0,N,08h30,6' to 8' shark,swimming,other shark
2006-03-18,2006,Unprovoked,FIJI,Vitu Levu,Sigatoka,Surfing,M,21.0,N,18h00,"Tiger shark, 5'",surfing,tiger shark
2005-11-25,2005,Watercraft,AUSTRALIA,Victoria,"6 km off Collendina, south of Melbourne",Fishing,,,N,,3 m white shark,fishing,other shark
2005-11-25,2005,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,M,26.0,N,11h30,,surfing,unknown
2005-08-24,2005,Unprovoked,AUSTRALIA,South Australia,Glenelg,Scuba diving,M,23.0,Y,16h10,White shark,diving,white shark
2005-03-19,2005,Unprovoked,AUSTRALIA,Western Australia,"Wreck Point, Abrolhos Islands",Snorkeling,M,26.0,Y,14h00,6 m [20'] white shark,other,other shark
2005-02-26,2005,Unprovoked,AUSTRALIA,Queensland,Brisbane River,Swimming,M,18.0,N,,Bull shark,swimming,bull shark
2002-10-03,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18.0,N,14h35,3.5' to 4' shark,surfing,other shark
2001-06-10,2001,Provoked,USA,California,Catalina Island,Spearfishing,M,52.0,N,09h00,"White shark, 2.4 m to 3 m [8' to 10']",fishing,white shark
2001-01-21,2001,Watercraft,AUSTRALIA,South Australia,Adelaide,Fishing,,,N,,"White shark, 4.3 m [14']",fishing,white shark
2000-09-12,2000,Unprovoked,USA,Florida,"Sebastian Inlet, Indian River or Brevard County",Surfing,F,26.0,N,12h00,,surfing,unknown
2000-09-08,2000,Unprovoked,REUNION,Saint-Pierre,Pic du Diable,Surfing,M,27.0,N,18h05,"Tiger shark, 3 m [10']",surfing,tiger shark
2000-08-31,2000,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,M,47.0,N,12h35,A 2' shark was seen in the area by witnesses,swimming,other shark
2000-08-13,2000,Unprovoked,USA,Florida,"South Jacksonville Beach, Duval County",Surfing / Wading,M,27.0,N,16h30,juvenile shark,surfing,other shark
2000-08-01,2000,Unprovoked,TANZANIA,,"Coco Beach, Dar-es-Salaam",Swimming,,,Y,,Thought to involve a Zambesi shark,swimming,other shark
2000-07-16,2000,Unprovoked,USA,North Carolina,"Holden Beach, Brunswick County",Surfing,M,14.0,N,,1.8 m [6'] grey-colored shark,surfing,other shark
2000-03-15,2000,Unprovoked,NEW CALEDONIA,North Province,Poum,Spearfishing,M,35.0,Y,Morning,Tiger shark?,fishing,tiger shark
2000-02-14,2000,Provoked,ENGLAND,Worcestershire,The Fountain Pub in Tenbury Wells,Feeding prawns to captive sharks,M,,N,,"Miami, a 60 cm blacktip  shark and two 60 cm bamboo catsharks",other,other shark
2000-01-05,2000,Unprovoked,THAILAND,Phang nga Province,Phang nga Island,Diving,M,35.0,Y,,,diving,unknown
1999-10-30,1999,Unprovoked,USA,Florida,"Gulfstream Park beach, Palm Beach County",Body surfing,M,13.0,N,15h00,,surfing,unknown
1998-10-10,1998,Unprovoked,USA,Florida,"Sebastian Inlet, Indian River County",Surfing,M,,N,,,surfing,unknown
1998-05-16,1998,Unprovoked,USA,Florida,"Pecks Lake, Martin County",Swimming,F,14.0,N,14h30,"1.8 m [6'] shark, possibly a blacktip",swimming,other shark
1996-09-02,1996,Unprovoked,USA,Florida,"Behune Beach, Volusia County",Standing,M,5.0,N,18h05,,swimming,unknown
1996-05-10,1996,Unprovoked,SOUTH KOREA,,,Shell Diving,M,33.0,Y,11h00,,diving,unknown
1995-11-17,1995,Unprovoked,AUSTRALIA,Queensland,Great Keppel Island,,M,,N,,,other,unknown
1995-10-28,1995,Unprovoked,USA,Florida,,Boogie boarding,M,13.0,N,,,watercraft,unknown
1995-08-13,1995,Invalid,USA,North Carolina,"Emerald Isle, Carteret County",Swimming,M,15.0,,,Invalid,swimming,unknown
1995-06-23,1995,Unprovoked,USA,Georgia,"Tybee Island, Chatham County",Playing / jumping,M,13.0,N,,sand shark,other,other shark
1995-01-01,1995,Provoked,AUSTRALIA,Queensland,Gladstone Reef,Snorkeling,M,,N,,Leopard shark,other,other shark
1995-01-01,1995,Invalid,USA,North Carolina,Carolina Beach,Scuba diving,M,,,,Invalid,diving,unknown
1994-12-09,1994,Invalid,AUSTRALIA,Queensland,"Hinchinbrook Channel, Queensland",Murder victim,M,44.0,,,Invalid,other,unknown
1993-12-01,1993,Unprovoked,USA,Hawaii,Waipo,Surfing,M,,Y,,"On 11-Jan-1994, his remains washed ashore. A 2.4 m [8'] tiger shark thought to be involved",surfing,other shark
