date,year,type,country,area,location,activity,sex,age,fatal_y_n,time,species,activity_group,species_group
,1966,Invalid,USA,Delaware,Fenwick Island,Spearfishing on Scuba,M,26.0,,17h00,Invalid,fishing,unknown
1965-06-19,1965,Invalid,USA,Florida,"In front of Key Biscayne Beach Club, Key Biscayne",Wading,M,6.0,,,Questionable incident,swimming,unknown
1964-10-04,1964,Unprovoked,AUSTRALIA,Western Australia,"Avalon Beach, near Mandurah, 50 miles south of Perth","Surfing, but swimming to his board",M,19.0,N,09h30,"Grey nurse shark, 1.8 m [6']",surfing,other shark
1963-12-20,1963,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umvoti,Splashing in surf,M,15.0,Y,12h40,300- to 400-lb Zambesi shark,surfing,other shark
1963-02-06,1963,Unprovoked,MAURITIUS,Rodrigues,,,M,24.0,N,,,other,unknown
1962-09-02,1962,Unprovoked,ITALY,Tyrrhenian Sea,"Circeo, Secca del Quadro",Spearfishing with Scuba gear,M,28.0,Y,10h20,White shark,fishing,white shark
1962-03-24,1962,Unprovoked,PAPUA NEW GUINEA,Madang,Matukar village,Swimming,M,10.0,Y,Late afternoon,Possibly a bronze whaler shark,swimming,other shark
1961-09-23,1961,Unprovoked,MID ATLANTIC OCEAN,165  miles from Bermuda,,"Survived US Naval aircraft crash, climbing onboard rescue vessel when he fell back into sea",M,22.0,N,06h00,"Oceanic whitetip shar,; identified by Dr. W.C. Schoeder on photograph & Dr. L.P. L. Schultz on sketch by observer",watercraft,other shark
1961-06-18,1961,Unprovoked,USA,Florida,"Jensen Beach, Martin County",Standing,M,25.0,N,Afternoon,,swimming,unknown
1961-03-07,1961,Provoked,SOUTH AFRICA,KwaZulu-Natal,St. Lucia,Fishing,M,44.0,N,,"Zambesi shark, 4'9",fishing,other shark
1961-01-01,1961,Watercraft,AUSTRALIA,New South Wales,South coast,Fishing for mackerel,,,N,,,fishing,unknown
1960-12-24,1960,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Margate,Swimming,M,25.0,Y,16h30,"White shark, 3 m [10'], tooth fragment from wounds identified as that of a white shark",swimming,white shark
1960-11-27,1960,Unprovoked,AUSTRALIA,Queensland,"Black’s Beach, 9 miles north of Mackay",Swimming,M,41.0,N,14h45,3' shark,swimming,other shark
1959-12-01,1959,Sea Disaster,MALDIVE ISLANDS,400 miles southeast of Sri Lanka,,17 Maldivians adrift in open boat for 31 days,F,3.0,Y,,,diving,unknown
1959-08-05,1959,Invalid,USA,California,"Hermosa Beach, Los Angeles County",Wading,M,,,,Invalid,swimming,unknown
1958-11-23,1958,Unprovoked,AUSTRALIA,Queensland,Surfer's Paradise,Swimming,M,21.0,Y,15h15,12' shark,swimming,other shark
1958-01-01,1958,Provoked,SAMOA,South Pacific Ocean,North of Northeast Samoa,Placed hand in disemboweled shark’s jaws,,,N,,,other,unknown
1957-04-07,1957,Unprovoked,SOLOMON ISLANDS,Bougainville (North Solomons),Kieta,Diving from canoe,M,15.0,N,,,diving,unknown
1957-01-01,1957,Unprovoked,USA,Florida,"Fort Pierce, St. Lucie County",Bathing,,,N,,1.5 m [5'] shark,swimming,other shark
1956-10-20,1956,Unprovoked,PAPUA NEW GUINEA,Central Province,Kapakapa,"Spearfishing, holding 5' speared fish",M,,N,,3.7 m [12'] shark,fishing,other shark
1956-05-01,1956,Unprovoked,AUSTRALIA,Torres Strait,,Diving,,,N,,,diving,unknown
1956-02-26,1956,Unprovoked,AUSTRALIA,Queensland,Pioneer River near Mackay,Diving into water,M,15.0,Y,11h00,1.8 m [6'] shark,diving,other shark
1955-12-11,1955,Watercraft,USA,Florida,½ mile offshore & 9 miles north of Fort Pierce,Fishing for pompano,,,N,,,fishing,unknown
1955-02-06,1955,Unprovoked,USA,California,"Pacific Grove, Monterey County",Spearfishing,M,19.0,N,12h00,"White shark, 5 m to 6 m [16.5' to 20]",fishing,white shark
1954-09-21,1954,Unprovoked,USA,California,"La Jolla, San Diego County",Swimming,M,35.0,N,,1.5 m [5'] shark,swimming,other shark
1954-09-15,1954,Unprovoked,HONG KONG,,Junk Bay,Swimming,M,20.0,Y,,,swimming,unknown
1954-07-04,1954,Unprovoked,USA,Florida,Florida Keys,,,,N,,"Nurse shark, 2.5'",other,other shark
1954-07-01,1954,Invalid,CROATIA,,Pula,,M,,,,Shark involvement prior to death was not confirmed,other,other shark
1954-01-01,1954,Unprovoked,MARTINIQUE,,,,M,,N,,"Nurse shark, 1.8 m [6']",other,other shark
1950-02-18,1950,Unprovoked,AUSTRALIA,Western Australia,"Cottesloe, Perth",Spearfishing,M,,N,,small carpet shark,fishing,other shark
1950-01-01,1950,Unprovoked,SINGAPORE,Singapore Harbor,,Diving for coins,M,,Y,,,diving,unknown
1948-08-01,1948,Provoked,BAHAMAS,Bimini Islands,Lerner Marine Laboratory,Spearing a shark,M,41.0,N,,"Lemon shark, 4'",other,other shark
1947-02-06,1947,Provoked,BAHAMAS,New Providence Island,Cable Beach,Attempting to ride a shark,M,,N,,5' shark,other,other shark
1946-05-09,1946,Unprovoked,TANZANIA,Dar-es-Salaam,Dar-es-Salaam harbor,Swimming,M,,N,,,swimming,unknown
1945-09-06,1945,Unprovoked,IRAN,Shatt-al-Arab River,Bashamir,Swimming,M,13.0,N,,,swimming,unknown
,1942,Sea Disaster,SOUTHWEST PACIFIC OCEAN,,Southwestern Pacific Base,Adrift on life raft,M,,Y,,Tiger shark & others,other,tiger shark
1942-07-12,1942,Sea Disaster,ATLANTIC OCEAN,,,The SS Potlach was torpedoed & sunk by the U-153 on 27-Jun-1942.,M,32.0,Y,,,other,unknown
1942-06-01,1942,Unprovoked,,300 miles east of St. Thomas (Virgin Islands),,On life raft tethered to lifeboat. A seaman put hand over side to rinse a cup,M,,N,,,watercraft,unknown
1941-11-25,1941,Sea Disaster,SOUTH ATLANTIC OCEAN,"North of Pernambuco, Brazil",,British cruiser Dunedin torpedoed & sunk by the U-124,,,Y,,,other,unknown
1941-08-21,1941,Provoked,USA,New York,Montauk,Fishing,,,N,,,fishing,unknown
1940-12-20,1940,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Inyoni Rocks, South Coast",Swimming,M,17.0,Y,10h00,,swimming,unknown
,1939,Watercraft,BAHAMAS,Andros Islands,Middle Bight,Fishing,,,N,,Tiger shark,fishing,tiger shark
1937-02-11,1937,Unprovoked,AUSTRALIA,New South Wales,Kempsey,Swimming ashore after launch capsized,M,,N,,,swimming,unknown
1936-08-11,1936,Provoked,CANADA,Newfoundland,Georges Bank,Fishing for cod,,,N,,"Shovelnose shark, 6 m [20']",fishing,other shark
1936-06-06,1936,Unprovoked,USA,Florida,"Boca Ciega Bay, Pinellas County",Swimming,M,,Y,,,swimming,unknown
1935-07-05,1935,Unprovoked,PANAMA,,off Culebra,"Fishing with dynamite, afterwards in water retrieving catch",M,14.0,Y,,,fishing,unknown
1934-10-08,1934,Provoked,BERMUDA,Hamilton,Hamilton Parish,Fishing,M,,N,Night,,fishing,unknown
1934-04-15,1934,Unprovoked,AUSTRALIA,Queensland,"Elephant Rock, Currumbin near Southport",Body surfing,M,34.0,N,09h30,,surfing,unknown
1932-01-01,1932,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Kowie River Mouth, Port Alfred",Collecting fish by lamplight in gully,M,23.0,N,After dusk,"Raggedtooth shark, 1.2 m to 1.5 m [4' to 5']",fishing,other shark
1931-08-30,1931,Invalid,USA,Hawaii,,,M,,,,Shark involvement prior to death unconfirmed,other,other shark
1931-06-04,1931,Unprovoked,USA,Florida,"Key West, Monroe County",Crabbing,M,,N,,6' shark,other,other shark
1929-01-06,1929,Watercraft,TURKEY,,San Stefano,Fishing boat,M,,Y,,,fishing,unknown
1927-05-29,1927,Sea Disaster,PHILIPPINES,Luzon Island,Bondoc Peninsula,Sea disaster,,,Y,,,other,unknown
1927-04-08,1927,Unprovoked,AUSTRALIA,Queensland,Near Thursday Island,Pearl diving,M,,N,,,diving,unknown
1926-10-29,1926,Unprovoked,PAPUA NEW GUINEA,Central Province,Roku Point,Jumped into the water,M,,Y,,,other,unknown
1925-11-01,1925,Unprovoked,USA,Puerto Rico,"Condado Beach, San Juan",,F,,N,,,other,unknown
1917-05-05,1917,Unprovoked,KUWAIT,,,Diving for pearls,M,,N,,,diving,unknown
1916-07-26,1916,Unprovoked,USA,North Carolina,"Atlantic, near New Bern, Craven County",Fishing,M,,N,,,fishing,unknown
1916-07-11,1916,Sea Disaster,BAHAMAS,,50 miles off Bahamas,S.S. Ramos foundered in a hurricane. Captain & 14 crew in water-logged lifeboats.,M,,Y,,,watercraft,unknown
1916-07-06,1916,Unprovoked,USA,New Jersey,"Spring Lake, Monmouth County",Swimming,M,,Y,Afternoon,Thought to involve a 2.6 m [8.5'] white shark,swimming,other shark
1913-12-30,1913,Provoked,USA,Florida,"Palm Beach, Palm Beach County",Fishing for mackerel,,,N,,13' shark,fishing,other shark
1913-09-21,1913,Unprovoked,USA,Florida,"West Palm Beach, Palm Beach County",,M,,N,,Said to involve a 2.4 m [8'] hammerhead shark,other,other shark
1913-01-01,1913,Unprovoked,REUNION,5aint-Denis,Barachois,Swimming,M,,Y,,,swimming,unknown
1912-02-03,1912,Unprovoked,NEW CALEDONIA,South Province,Noumea,Swimming,M,,N,,,swimming,unknown
1910-03-01,1910,Invalid,USA,Hawaii,"Pearl Harbor, O'ahu","Hard hat diving, laying some charge of powder",M,,,,Invalid,diving,unknown
1910-02-16,1910,Unprovoked,AUSTRALIA,Western Australia,Bunbury,Surf bathing,M,,N,Night,5.5' to 6' shark,surfing,other shark
1910-01-01,1910,Invalid,USA,Hawaii,"Hilo, Hawai'i","Fishing, thrown into water by heavy sea, clinging to rocks at the water line",M,,,,Shark involvement prior to death unconfirmed,fishing,other shark
1910-01-01,1910,Unprovoked,PHILIPPINES,Luzon Island,"Polinao Point, Manila",Swimming,M,,,,6 m [20'] shark,swimming,other shark
1907-08-08,1907,Unprovoked,USA,New Jersey,Lower Delaware Bay,Wading,M,,N,,,swimming,unknown
1907-07-04,1907,Invalid,AUSTRALIA,Queensland,Karra Garra,.,M,,,,Questionable,other,unknown
1905-12-29,1905,Invalid,AUSTRALIA,Western Australia,Geraldton,Bathing,M,,,,Shark involvement not confirmed,swimming,other shark
1905-01-01,1905,Watercraft,USA,North Carolina,"Cape Lookout, Carteret County",Harpooning turtles,,,N,,20' shark,other,other shark
1904-02-04,1904,Unprovoked,NEW ZEALAND,North Island,Waitara,Swimming,M,30.0,Y,,,swimming,unknown
1903-03-20,1903,Unprovoked,AUSTRALIA,New South Wales,Sydney,Suicide,M,,Y,,,other,unknown
1903-01-10,1903,Unprovoked,AUSTRALIA,New South Wales,"Lane Cove River, Sydney Harbor (Estuary)",,M,,Y,,Bull shark,other,bull shark
1902-07-15,1902,Provoked,ITALY,Liguria,"Galliera dock, Genoa",Fishing,M,,N,,,fishing,unknown
1901-12-01,1901,Unprovoked,AUSTRALIA,Queensland,Brisbane,Bathing,M,10.0,N,,,swimming,unknown
1900-07-31,1900,Unprovoked,CROATIA,Primorje-Gorski Kotar County,"Volosko, Opatija",Swimming,M,,Y,,,swimming,unknown
1899-12-18,1899,Unprovoked,AUSTRALIA,Queensland,Tingalpa Creek,Fell into the water,M,,N,Afternoon,,other,unknown
1898-01-01,1898,Unprovoked,USA,South Carolina,Ramshorn Creek,Fishing (Seining),M,15.0,N,,White shark,fishing,white shark
1896-01-01,1896,Unprovoked,USA,Florida,,Swimming ashore from a filibuster,M,,Y,,,swimming,unknown
1895-09-14,1895,Unprovoked,YEMEN,Aden,,Diving for coins,M,,Y,,,diving,unknown
1893-05-17,1893,Unprovoked,CUBA,Havana Province,Havana Harbor,His balloon crashed in the harbor,M,,Y,16h00,,other,unknown
1893-01-30,1893,Unprovoked,NEW ZEALAND,South Island?,Downs River,Bathing,M,,Y,,,swimming,unknown
1892-03-25,1892,Unprovoked,PACIFIC OCEAN,,,a canoe was pursuing a schooner that had forcibily abducted 5 young girls,M,,Y,,,other,unknown
1888-02-01,1888,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Mzimvubu River mouth,Crossing the river mouth,M,,Y,,,other,unknown
1887-12-04,1887,Unprovoked,AUSTRALIA,New South Wales,"Ryde, Sydney (Estuary)",,M,,Y,11h30,12' to 14' shark,other,other shark
1886-04-11,1886,Invalid,NEW ZEALAND,South Island,Near the mouth of the Clarence River,Sea disaster : Wreck of the Taiaroa,M,,,,Shark involvement prior to death unconfirmed,other,other shark
1883-12-18,1883,Unprovoked,USA,Texas,Brazos,Knocked overboard,M,,Y,,,watercraft,unknown
1882-11-12,1882,Unprovoked,NEW ZEALAND,North Island,"Tararu, Thames",Bathing,M,,N,Morning,,swimming,unknown
,1880,Invalid,SYRIA,,,Diving for sponges,M,,,,Shark involvement prior to death unconfirmed,diving,other shark
1878-11-17,1878,Unprovoked,AUSTRALIA,New South Wales,"Lane Cove River, Sydney Harbor",Bathing,M,,N,,a small shark,swimming,other shark
1878-10-13,1878,Unprovoked,,,,Jumped overboard after murdering 2 shipmates,M,,Y,,,watercraft,unknown
1878-02-13,1878,Sea Disaster,SOUTH AFRICA,Western Cape Province,Olifantbos Point,Wreck of the Union Steamship Company 982-ton iron steamer Kafir,M,,Y,,,other,unknown
1876-02-06,1876,Unprovoked,AUSTRALIA,Victoria,Albert Park in Port Phillip Bay,Bathing,M,,Y,,,swimming,unknown
1876-01-01,1876,Unprovoked,AUSTRALIA,Western Australia,Between De Grey River and Port Walcott,Pearl diving,M,,N,,,diving,unknown
1874-06-15,1874,Unprovoked,,,,Salvaging a shipwreck,M,,N,,,other,unknown
1874-04-20,1874,Watercraft,CANADA,Newfoundland,St. Pierre Bank,Fishing,M,,N,,White shark,fishing,white shark
1870-05-18,1870,Unprovoked,INDIA,"22ºN, 88ºE","Hatkolah, Ghat,",Bathing,M,39.0,N,,,swimming,unknown
1865-09-02,1865,Unprovoked,USA,New York,"Greenport Sound, Long Island",Swimming alongside the schooner Catherine Wilcox,M,17.0,N,09h00,,swimming,unknown
1856-11-20,1856,Unprovoked,,,,Swimming,M,22.0,Y,,,swimming,unknown
1856-06-21,1856,Unprovoked,ENGLAND,Isle of Wight,Colwell Bay,Swimming,M,,Y,,,swimming,unknown
1852-05-24,1852,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Durban Bay,Swimming from capsized boat,M,,Y,,,swimming,unknown
1849-06-08,1849,Unprovoked,USA,Florida,"Pensacola, Escambia County",Bathing,F,,Y,,,swimming,unknown
1846-12-08,1846,Sea Disaster,MEXICO,Veracruz,Vera Cruz,Wreck of the USS Somers,M,,Y,,,other,unknown
,1839,Unprovoked,FIJI,Viti Levu Island,Rewa,,M,29.0,N,,,other,unknown
1830-07-26,1830,Unprovoked,USA,Massachusetts,"Swampscott, Essex County","Fishing from dory, shark upset boat & he fell into the water",M,52.0,Y,,,fishing,unknown
1784-12-12,1784,Unprovoked,JAMAICA,,Kingston,Swimming,M,,Y,22h00,,swimming,unknown
1749-01-01,1749,Unprovoked,CUBA,Havana Province,Havana Harbor,Swimming,M,14.0,N,,,swimming,unknown
,1500,Unprovoked,MEXICO,,,,M,,N,,,other,unknown
2023-04-09,2023,Unprovoked,USA,Hawaii,"Kewalos, Oahu",Surfing,M,58.0,N,07h00,Tiger shark,surfing,tiger shark
2023-03-06,2023,Unprovoked,BRAZIL,Pernambuco,Piedade Beach,Swimming,F,15.0,N,14h20,,swimming,unknown
2022-08-10,2022,Unprovoked,USA,California,"Lovers Point, Pacific Grove, Monterey County",Paddleboarding,M,,N,11h30,,watercraft,unknown
2022-07-07,2022,Unprovoked,USA,New York,"Ocean Beach, Long Island",Lifeguard Training Exercise,M,17.0,N,11hoo,,other,unknown
2022-06-21,2022,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",,M,,N,,,other,unknown
2022-01-22,2022,Unprovoked,AUSTRALIA,Western Australia,Whalers Beach,Snorkeling,M,,N,,Wobbegong shark,other,other shark
2021-07-27,2021,Provoked,AUSTRALIA,Western Australia,Varanus Island,Fishing,M,34.0,N,20h30,"Sickelfin lemon shark, 3m",fishing,other shark
2021-07-23,2021,Provoked,THAILAND,Chanthaburi Province,Kung Krabaenbay Royal Département Study Center,Moving captive shark,M,55.0,N,,"Bull shark, +100kg",other,bull shark
2021-04-24,2021,Unprovoked,NEW CALEDONIA,,Nouville,Stand Up Paddleboarding,M,53.0,Y,,,watercraft,unknown
2020-12-30,2020,Unprovoked,USA,California,"Coronado, San Diego County",Swimming,M,,N,Afternoon,White shark,swimming,white shark
2019-10-27,2019,Provoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,32.0,N,12h45,4' to 5' shark,surfing,other shark
2019-05-14,2019,Unprovoked,AUSTRALIA,Queensland,Yandaran Beach,Body Surfing,M,53.0,N,16h21,,surfing,unknown
2019-02-14,2019,Unprovoked,BRAZIL,Fernando de Noronha,Cacimba do Padre,Surfing,M,31.0,N,17h30,Lemon shark,surfing,other shark
2018-11-24,2018,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing,M,48.0,N,17h00,,surfing,unknown
2018-08-20,2018,Unprovoked,BAHAMAS,Abaco Islands,Carter's Cay,Spearfishing,M,29.0,N,,Reef shark,fishing,other shark
2018-08-03,2018,Unprovoked,EGYPT,,Marsa Alam,Snorkeling,M,42.0,Y,15h00,Tiger shark,other,tiger shark
2018-05-09,2018,Questionable,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,,N,10h30,Shark involvement not confirmed,surfing,other shark
2018-02-01,2018,Invalid,AUSTRALIA,Western Australia,"Avalon Point, Manurah",Spearfishing,M,14.0,N,,2m shark,fishing,other shark
2017-09-25,2017,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,,N,Morning,5' shark,surfing,other shark
2017-08-01,2017,Watercraft,USA,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County",Fishing,M,,N,10h45,"White shark, 10'",fishing,white shark
2017-07-20,2017,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,F,8.0,,,Shark involvement not confirmed,swimming,other shark
2017-04-05,2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,51.0,N,13h00,,swimming,unknown
2016-10-21,2016,Unprovoked,USA,Hawaii,"Hooipa Beach Park, Maui",Surfing,M,36.0,N,17h00,6' to 8' shark,surfing,other shark
2016-09-18,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,16.0,N,13h00,,surfing,unknown
2016-09-17,2016,Unprovoked,AUSTRALIA,Victoria,Thirteenth Beach,Surfing,M,,N,,,surfing,unknown
2016-04-13,2016,Unprovoked,USA,Florida,"Off Singer Island, Palm Beach County",Spearfishing,M,26.0,N,,"Bull shark, 7'",fishing,bull shark
2016-03-10,2016,Unprovoked,Fiji,Vanua Levu,Dawara,Diving for beche-de-mer,M,45.0,Y,Afternoon,,diving,unknown
2015-10-19,2015,Unprovoked,USA,Florida,"Deerfield Beach, Broward County",Surfing,M,21.0,N,13h50,"Spinner shark, 5'",surfing,other shark
2015-10-17,2015,Invalid,USA,Hawaii,"Waikiki,",Surfing,M,32.0,,19h20,No shark involvement,surfing,other shark
2015-09-20,2015,Unprovoked,USA,Florida,"Vilano Beach, St.  Johns County",Photographing fish,M,16.0,N,07h30,,fishing,unknown
2015-08-10,2015,Provoked,USA,California,Cortes Bank,Spearfishing,M,57.0,N,08h00,Hammerhead shark. 6' to 7',fishing,other shark
2015-06-26,2015,Invalid,USA,Florida,"Jacksonville Beach, Duval County",Swimming,F,,,19h30,Shark involvement not confirmed,swimming,other shark
2015-06-19,2015,Unprovoked,PUERTO RICO,,Off Cabo Rojo,Spearfishing,M,36.0,N,Morning,,fishing,unknown
2015-05-15,2015,Unprovoked,USA,South Carolina,Sullivan's Island,,M,30.0,N,14h15,6' shark,other,other shark
2015-04-11,2015,Unprovoked,AUSTRALIA,New South Wales,McKenzies Beach,Paddle boarding,M,,N,07h30,,watercraft,unknown
2015-03-29,2015,Invalid,ITALY,Sardinia,,Diving,M,43.0,,,Shark involvement not cofirmed,diving,other shark
2015-01-17,2015,Watercraft,AUSTRALIA,New South Wales,Off Blacksmith Beach,Fishing,M,,N,13h45,5 m shark,fishing,other shark
2014-07-12,2014,Unprovoked,USA,North Carolina,"Masonboro Island, New Hanover County",Body surfing,M,,N,,,surfing,unknown
2014-05-13,2014,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Wading,F,44.0,N,11h00,,swimming,unknown
2013-02-27,2013,Unprovoked,NEW ZEALAND,North Island,Muriwai,Swimming,M,46.0,Y,13h24,"White shark, 4m",swimming,white shark
2012-12-05,2012,Unprovoked,USA,Hawaii,Kauai,Surfing,M,60.0,N,13h20,10' shark,surfing,other shark
2012-07-21,2012,Invalid,TRINIDAD & TOBAGO,Trinidad,"Off Radix Village, Mayoro County",Swimming,M,24.0,,,,swimming,unknown
2013-04-01,2012,Unprovoked,USA,Florida,"Sanibel Island, Lee County",,M,,N,,a small shark,other,other shark
2012-03-04,2012,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Kite Surfing,M,19.0,N,13h00,4' shark,surfing,other shark
2011-09-16,2011,Unprovoked,USA,Florida,New Smyrna Beach,Surfing,M,25.0,N,11h00,4' to 6' shark,surfing,other shark
2011-09-02,2011,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19.0,N,11h00,"6' shark, possibly a blactip or spinner shark",surfing,other shark
2011-06-19,2011,Unprovoked,TURKS & CAICOS,Caicos Bank,French Cay,Spearfishing,M,35.0,N,,5' shark,fishing,other shark
2010-07-16,2010,Unprovoked,USA,Texas,Galveston,Fishing,M,,N,,,fishing,unknown
2010-02-06,2010,Provoked,NEW ZEALAND,South Island,Cosy Nook,Spearfishing,M,,N,,2 m to 3 m shark,fishing,other shark
2010-01-22,2010,Unprovoked,AUSTRALIA,Victoria,Geelong,Surfing,M,,N,07h30,,surfing,unknown
2009-12-13,2009,Unprovoked,AUSTRALIA,New South Wales,Coffee Head,Surfing,M,39.0,N,07h00,,surfing,unknown
2009-11-24,2009,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard County",Wading,M,10.0,N,Morning,6' shark,swimming,other shark
2009-06-27,2009,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",Surfing,M,52.0,N,08h45,"Thought to involve a Bronze whale shark, 2m",surfing,other shark
2009-04-12,2009,Unprovoked,AUSTRALIA,New South Wales,Fingal Bay,Surf skiing,M,40.0,N,08h00,2' to 3' shark,surfing,other shark
2008-12-20,2008,Watercraft,USA,California,"Dillon Beach, Marin County",Kayaking,M,,N,15h00,White shark,watercraft,white shark
2008-09-01,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,52.0,N,10h00,4' shark,surfing,other shark
2008-07-09,2008,Unprovoked,USA,North Carolina,"Emerald Isle, Carteret County",Swimming,F,14.0,N,19h30,,swimming,unknown
2008-06-21,2008,Watercraft,USA,California,"West Cove, Catalina Island",Kayaking,F,40.0,N,09h00,"White shark, 15'",watercraft,white shark
2008-06-01,2008,Unprovoked,USA,South Carolina,Cherry Grove,Body surfing,F,15.0,N,18h30,5' shark,surfing,other shark
2008-04-03,2008,Unprovoked,USA,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Walking out of the water after surfing,M,18.0,N,12h00,,surfing,unknown
2007-12-14,2007,Invalid,AUSTRALIA,New South Wales,Bondi,Swimming,M,34.0,,20h30,Not a shark attack; it was a hoax,swimming,other shark
2007-10-07,2007,Unprovoked,USA,California,"Venice Pier, Venice, Los Angeles County",Surfing,M,22.0,N,20h30,3' to 4' shark,surfing,other shark
2007-09-30,2007,Unprovoked,USA,California,"Santa Monica, Los Angeles County",Surfing,M,,N,11h30,,surfing,unknown
2007-07-29,2007,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,51.0,N,Afternoon,,surfing,unknown
2007-05-04,2007,Sea Disaster,TURKS & CAICOS,Providenciales,,Sea Disaster,,,Y,,,other,unknown
2006-08-13,2006,Unprovoked,SOUTH AFRICA,Western Cape Province,"Sunrise Beach, Muizenberg",Lifesaving drill,M,24.0,N,11h00,White shark,other,white shark
2006-07-31,2006,Unprovoked,USA,Oregon,Oswald State Park,Surfing,M,41.0,N,16h00,White shark?,surfing,white shark
2006-01-23,2006,Watercraft,ATLANTIC OCEAN,800 miles from land,,Competing in the Woodvale Atlantic Rowing Race,F,,N,,,other,unknown
2006-01-11,2006,Invalid,BAHAMAS,Grand Bahama Island,Sandy Cay,Diving for lobsters,M,,,Morning,Invalid,diving,unknown
2005-11-25,2005,Unprovoked,AUSTRALIA,Victoria,Flinders,Surfing,M,18.0,N,18h00,1.8 m shark,surfing,other shark
2005-09-05,2005,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow County",Wading,F,18.0,N,15h20,Bull shark,swimming,bull shark
2005-07-22,2005,Invalid,USA,Florida,"Quarter mile south of Ponce de Leon Inlet, Volusia County",Surfing,M,25.0,,11h15,Shark involvement not confirmed,surfing,other shark
2005-06-05,2005,Invalid,USA,New Jersey,"Surf City, Long Beach Island, Ocean County",Surfing,M,17.0,,11h00,"Mr. Burgess of ISAF announced the injury was the bite of a 1.8 m [6'], 2- to 3-year old white shark. Subsequent investigation revealed there was  no shark involvement in this incident",surfing,other shark
2005-04-06,2005,Invalid,HONDURAS,Bay Islands,Utila,SCUBA Diving,F,,,,Shark involvement not confirmed,diving,other shark
2005-03-27,2005,Unprovoked,AUSTRALIA,New South Wales,,Surfing,M,,N,,,surfing,unknown
2004-10-21,2004,Unprovoked,AUSTRALIA,New South Wales,Stockton Beach,Surfing,M,59.0,N,Afternoon,"Bronze whaler shark, 2.4 m [8']",surfing,other shark
2004-07-10,2004,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders Beach, Margaret River",Surfing,M,30.0,Y,14h10,"2 sharks, 4.5 m & 3 m",surfing,other shark
2004-06-26,2004,Invalid,AUSTRALIA,Western Australia,Floreat Beach,Crayfishing,M,,,,Invalid,fishing,unknown
2004-02-14,2004,Unprovoked,EGYPT,,"Coral Bay, Sharm-el-Sheikh",Snorkeling,M,,Y,,,other,unknown
2003-06-24,2003,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Standing,F,12.0,N,Afternoon,“small brown shark”,swimming,other shark
2003-04-20,2003,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,30.0,N,Afternoon,Unidentified species,surfing,unknown
2002-05-31,2002,Unprovoked,USA,California,"Stinson Beach, Marin County",Surfing,M,24.0,N,14h15,3.7 m to 4.3 m [12' to 14'] white shark,surfing,other shark
2002-04-02,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,41.0,N,15h00,3'  shark,swimming,other shark
2000-12-12,2000,Unprovoked,FIJI,Taveuni,Garden Island Resort,Swimming back from anchored sailboat,M,47.0,Y,14h30,6 m [20'] shark,swimming,other shark
2000-10-20,2000,Unprovoked,USA,Florida,"Fort Pierce Inlet State Park, St Lucie County",Surfing,M,23.0,N,18h00,,surfing,unknown
2000-02-03,2000,Unprovoked,NEW ZEALAND,South Island,Oreti Beach (reported as the 4th person bitten in NZ in 2000),Surfing,M,12.0,N,,,surfing,unknown
1999-11-06,1999,Unprovoked,BRAZIL,Rio de Janeiro,"Rio de Janeiro, Guanabara Bay","Spearfishing, but swimming at surface",M,39.0,N,10h30,1.3 to 1.6 m shark,surfing,other shark
1999-10-20,1999,Unprovoked,USA,Florida,"Pet Den, Satellite Beach, Brevard County",Surfing,M,,N,Noon,"Lemon shark, 2.7 m [9']",surfing,other shark
